Location,AQI,Year
"Suffolk, MA",15.7,1999
"Suffolk, MA",15.8,2000
"Suffolk, MA",14.7,2001
"Suffolk, MA",13.5,2002
"Suffolk, MA",13.6,2003
"Suffolk, MA",14.4,2004
"Suffolk, MA",13.7,2005
"Suffolk, MA",11.5,2006
"Suffolk, MA",11.9,2007
"Suffolk, MA",11.1,2008
"Suffolk, MA",10.5,2009
"Suffolk, MA",10.4,2010
"Suffolk, MA",10.7,2011
"Suffolk, MA",9.7,2012
"Suffolk, MA",9.2,2013
"Suffolk, MA",7.3,2014
"Suffolk, MA",8.8,2015
"Suffolk, MA",8.5,2016
"Suffolk, MA",9.8,2017
"Suffolk, MA",10.2,2018
"Suffolk, MA",8.1,2019
"Suffolk, MA",8.5,2020
"Suffolk, MA",8.3,2021
"Suffolk, MA",7.4,2022
