Location,AQI,Year
"Los Angeles, CA",29.8,1999
"Los Angeles, CA",19.4,2000
"Los Angeles, CA",22.9,2001
"Los Angeles, CA",20.3,2002
"Los Angeles, CA",16.2,2003
"Los Angeles, CA",12.3,2004
"Los Angeles, CA",8.8,2005
"Los Angeles, CA",5.6,2006
"Los Angeles, CA",7.1,2007
"Los Angeles, CA",4.4,2008
"Los Angeles, CA",2.4,2009
"Los Angeles, CA",1.6,2010
"Los Angeles, CA",2.7,2011
"Los Angeles, CA",2.2,2012
"Los Angeles, CA",1.4,2013
"Los Angeles, CA",2.8,2014
"Los Angeles, CA",4.4,2015
"Los Angeles, CA",1.1,2016
"Los Angeles, CA",4.1,2017
"Los Angeles, CA",4.9,2018
"Los Angeles, CA",1.4,2019
"Los Angeles, CA",8.5,2020
"Los Angeles, CA",4.7,2021
"Los Angeles, CA",1.6,2022
