Location,Number of Deaths,Year
"Los Angeles, CA",790,2004
"Los Angeles, CA",782,2005
"Los Angeles, CA",755,2006
"Los Angeles, CA",744,2007
"Los Angeles, CA",731,2008
"Los Angeles, CA",723,2009
"Los Angeles, CA",698,2010
"Los Angeles, CA",678,2011
"Los Angeles, CA",637,2012
"Los Angeles, CA",601,2013
"Los Angeles, CA",566,2014
"Los Angeles, CA",546,2015
"Los Angeles, CA",532,2016
"Los Angeles, CA",515,2017
"Los Angeles, CA",493,2018
"Los Angeles, CA",471,2019
"Los Angeles, CA",444,2020
